year,juvCount,ocean1Count,ocean2Count,ocean3Count,Species,Pop
2002,125,1,0,0,Sockeye,SNA
2003,268,0,0,0,Sockeye,SNA
2004,9,0,0,0,Sockeye,SNA
2005,5,0,0,0,Sockeye,SNA
2006,157,0,1,0,Sockeye,SNA
2007,169,3,4,0,Sockeye,SNA
2008,187,0,2,1,Sockeye,SNA
2009,1846,2,65,2,Sockeye,SNA
2010,1383,10,29,1,Sockeye,SNA
2011,826,2,5,1,Sockeye,SNA
2012,1462,9,24,1,Sockeye,SNA
2013,1450,5,36,3,Sockeye,SNA
2014,1734,1,20,2,Sockeye,SNA
2015,3315,0,16,1,Sockeye,SNA
2016,283,0,2,1,Sockeye,SNA
2017,256,0,0,0,Sockeye,SNA
2018,2384,0,0,1,Sockeye,SNA
2019,4140,0,19,0,Sockeye,SNA
2020,2122,0,0,NA,Sockeye,SNA
2021,4085,0,NA,NA,Sockeye,SNA
