year,age3,age4,age5,age6,age7,age8
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,0,3685.895439,5237.851413,775.9779871,0,
2000,20.9151883,5228.797075,4528.138267,679.7436197,0,
2001,0,4922.509153,3209.241961,225.6498254,0,
2002,0,5589.339164,3160.41493,628.3317516,0,
2003,56.02815274,2793.403615,4434.228089,712.357942,0,
2004,0,7749.272623,7566.741576,1277.717328,0,
2005,65.76278022,3090.85067,4866.445736,723.3905824,65.76278022,
2006,,5125.269038,4612.742134,939.6326569,,
2007,73.93032825,2359.34178,4939.670954,589.835445,73.93032825,
2008,0,3264.96612,2380.704462,476.1408925,68.0201275,
2009,0,2545.415137,3393.886849,848.4717123,0,
2010,199.5596201,4090.972212,1297.137531,99.77981006,0,
2011,122.5168195,2327.81957,3736.762994,61.25840974,0,
2012,87.21699685,4186.415849,2965.377893,436.0849842,87.21699685,
2013,60.35029247,4888.37369,3560.667256,422.4520473,0,
2014,0,3798.617011,2775.912431,292.2013086,0,
2015,102.931325,7719.849375,3087.93975,205.86265,0,
2016,0,3698.912768,5442.078556,637.7435807,42.51623872,
2017,0,2498.849609,2415.554622,208.2374674,0,
2018,44.07135284,5281.129672,1806.896319,165.2675731,0,
2019,0,1923.094064,3942.342831,96.15470321,0,
2020,330.1724781,4480.912203,1556.527397,283.0049813,0,
2021,701.0281381,1892.775973,2313.392856,70.10281381,0,
