year,flow_max,flow_min,NPGO
1973,16800,145,
1974,35000,225,
1975,39100,146,
1976,27500,260,
1977,30900,147,
1978,12400,253,
1979,18300,152,
1980,23000,175,
1981,21800,235,
1982,25700,157,
1983,19800,272,
1984,18800,227,
1985,9560,178,
1986,46000,140,
1987,30500,156,
1988,15500,259,
1989,17300,171,
1990,58500,218,
1991,38000,197,
1992,19300,117,
1993,11200,206,
1994,33400,213,
1995,32400,207,
1996,64200,200,
1997,32000,326,
1998,31400,182,
1999,31300,223,
2000,9740,234,
2001,28900,204,
2002,22600,169,
2003,22300,148,
2004,19600,187,
2005,20000,216,
2006,35500,177,
2007,61900,177,
2008,13900,314,
2009,41600,153,
2010,22500,219,
2011,23300,198,
2012,24500,172,
2013,19100,233,
2014,27000,172,
2015,35600,105,
2016,22000,124,
2017,28200,186,
2018,17400,120,
2019,24600,130,
2020,24100,120,
2021,26800,75.6,
