year,escapement
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,
1982,
1983,4710
1984,9095
1985,10583
1986,13558
1987,13262
1988,6381
1989,7110
1990,9010
1991,7781
1992,7652
1993,5904
1994,8391
1995,8713
1996,7585
1997,6714
1998,5964
1999,10720
2000,11679
2001,9802
2002,10440
2003,8424
2004,15825
2005,9059
2006,10418
2007,7602
2008,6493
2009,6955
2010,6765
2011,6090
2012,7592
2013,9776
2014,6944.4
2015,10567.93305
2016,8824
2017,4618
2018,6840
2019,6130
2020,6283
2021,5634
