year,hrel,
1973,,
1974,,
1975,129978,
1976,80320,
1977,136840,
1978,139853,
1979,103174,
1980,74756,
1981,110953,
1982,113594,
1983,121395,
1984,257126,
1985,272712,
1986,211800,
1987,243500,
1988,290171,
1989,302995,
1990,169500,
1991,137990,
1992,227680,
1993,328830,
1994,343812,
1995,315327,
1996,323716,
1997,253558,
1998,248392,
1999,280149,
2000,303419,
2001,286100,
2002,334000,
2003,321100,
2004,362015,
2005,312640,
2006,370805,
2007,330550,
2008,256860,
2009,322780,
2010,393100,
2011,317800,
2012,372200,
2013,415900,
2014,351560,
2015,305500,
2016,410660,
2017,386070,
2018,398300,
2019,388293,
2020,380000,
2021,,
