year,age3,age4,age5,age6,age7,age8
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,0,0,0,0,12,
1988,0,0,0,288,23,
1989,0,0,1588,103,0,
1990,0,1512,1321,97,0,
1991,12,1608,1155,113,0,
1992,115,2479,1112,261,19,
1993,49,2260,1897,174,19,
1994,91,1505,1412,169,0,
1995,0,1800,1752,137,11,
1996,0,2145,2480,64,0,
1997,9,2036,1069,244,0,
1998,121,3582,2076,271,0,
1999,43,886,1541,109,11,
2000,0,1817,1257,77,8,
2001,5,689,1865,55,0,
2002,5,1795,1591,75,0,
2003,22,1535.099446,1078,25,0,
2004,39.14738136,1681,746,75,0,
2005,86,1873,479,43,5,
2006,7,2154,1606,114,10,
2007,38,2155,1683,159,0,
2008,8,2221,1443,60,0,
2009,78,1339,1337,88,0,
2010,5,1484,1332,68,0,
2011,5,1316,1076,144,0,
2012,8,1291,1353,65,0,
2013,79,812,649,151,0,
2014,36,2075,1018,16,0,
2015,65,1433,839,37,0,
2016,75,1914,2009,239.2553212,0,
2017,16,674,581.1960551,0,0,
2018,0,842.472122,0,0,0,
2019,48.33408471,0,0,0,0,
2020,,,,,,
2021,,,,,,
