year,tribal harvest,sport mortality
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,1006,568
1981,1067,787
1982,1326,473
1983,765,385
1984,1064,582
1985,1888,605
1986,1726,368
1987,1262,357
1988,1927,873
1989,999,608
1990,1439,696
1991,852,571
1992,1151,1303
1993,882,1209
1994,901,848
1995,568,799
1996,993,764
1997,865,279
1998,278,10
1999,612,416
2000,764,542
2001,1948,636
2002,1615,699
2003,1429,538
2004,1081,704
2005,851,208
2006,321,116
2007,722,166
2008,922,160
2009,659,224
2010,530,278
2011,818,77
2012,1174,110
2013,1009,329
2014,1358,
2015,748,400
2016,380,153
2017,291,165
2018,308,154
2019,225,237
2020,444,122
2021,230,166
