year,flow_max,flow_min,NPGO
1973,17700,450,
1974,26900,400,
1975,29800,666,
1976,13200,455,
1977,20600,585,
1978,6970,724,
1979,37700,642,
1980,38300,594,
1981,20000,564,
1982,26200,512,
1983,32600,345,
1984,18700,532,
1985,18300,384,
1986,29800,338,
1987,17500,252,
1988,28600,450,
1989,27300,433,
1990,39000,587,
1991,24200,629,
1992,21000,443,
1993,20400,375,
1994,23600,283,
1995,39000,530,
1996,11900,540,
1997,35000,880,
1998,26200,437,
1999,26100,431,
2000,9180,614,
2001,23900,644,
2002,34300,276,
2003,40000,435,
2004,23200,680,
2005,18800,340,
2006,41600,375,
2007,38800,446,
2008,20300,643,
2009,34100,380,
2010,30000,612,
2011,16500,603,
2012,14300,365,
2013,12100,587,
2014,22500,374,
2015,27800,563,
2016,21900,368,
2017,25400,254,
2018,19800,379,
2019,14700,601,
2020,24400,561,
2021,39000,385,
