year,escapement
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,2660
1981,2224
1982,3984
1983,4593
1984,3670
1985,3228
1986,3000
1987,2908
1988,2906
1989,2808
1990,2390
1991,2783
1992,2061
1993,2053
1994,2239
1995,2204
1996,2340
1997,3008
1998,3689
1999,3095
2000,3162
2001,2767
2002,2811
2003,1616
2004,2268
2005,1480
2006,3547
2007,3026
2008,2419
2009,2258
2010,2234
2011,3499
2012,3221
2013,2302
2014,1786
2015,3171
2016,2227
2017,2286
2018,2889
2019,2480
2020,2440
2021,2826
