year,age3,age4,age5,age6,age7,age8
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,,,,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,1957.731989,1708.5661,177.9756354,0,
2005,,489.7294404,1360.359557,190.4503379,0,
2006,,1188.205382,1048.416513,139.7888684,0,
2007,,711.8628797,1138.980608,256.2706367,28.47451519,
2008,,619.204575,577.92427,123.840915,0,
2009,,741.4024298,329.512191,82.37804775,0,
2010,,893.5405714,372.3085714,0,0,
2011,,1131.11272,1242.827557,0,0,
2012,,1251.976717,952.2076441,211.6016987,0,
2013,,1013.868211,1423.729829,215.7166407,0,
2014,,947.6575267,435.70461,54.46307625,0,
2015,,1440.883314,1190.934168,132.3260187,0,
2016,,1182.846965,1144.690611,228.9381223,0,
2017,,439.6871494,716.061929,75.37493989,0,
2018,,1270.001991,762.0011945,127.0001991,0,
2019,,544.3254373,1147.816683,35.49948504,0,
2020,,298.6232503,447.9348754,18.66395314,0,
2021,,447.5878831,665.3333397,54.43636416,0,
