year,tribal harvest,2% net dropout,sport catch,NHM
1973,,,,
1974,,,,
1975,1305,,74,
1976,398,,205,
1977,,,,
1978,243,,320,
1979,31,,212,
1980,260,,662,
1981,267,,478,
1982,382,,543,
1983,321,,298,
1984,220,,379,
1985,1115,,1962,
1986,829,,509,
1987,511,,620,
1988,1051,,782,
1989,494,,586,
1990,525,,722,
1991,170,,441,
1992,253,,500,
1993,213,,555,
1994,174,,425,
1995,103,,738,
1996,6,0,173,37
1997,130,3,39,27
1998,12,0,2,31
1999,10,0,3,45
2000,12,0,10,30
2001,18,0,38,31
2002,5,0,26,58
2003,97,2,20,63
2004,199,4,20,93
2005,185,4,62,57
2006,67,1,0,56
2007,238,5,0,53
2008,128,3,0,37
2009,131,3,0,29
2010,104,2,0,29
2011,189,4,0,59
2012,445,9,0,59
2013,462,9,0,75
2014,291,6,0,37
2015,793,16,0,67
2016,483,10,0,64
2017,262,5,0,31
2018,83,2,0,49
2019,593,12,0,40
2020,53,1,0,19
2021,7,0,0,28
