year,flow_max,flow_min,NPGO
1973,,,
1974,,,
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,
1992,,,
1993,,,
1994,,,
1995,,,
1996,,,
1997,,,
1998,,,
1999,,,
2000,,,
2001,,,
2002,13800,110,
2003,17700,97.3,
2004,14400,152,
2005,21100,122,
2006,27000,113,
2007,21800,152,
2008,19200,191,
2009,33700,124,
2010,24700,135,
2011,14100,148,
2012,11500,112,
2013,10500,159,
2014,13500,111,
2015,21100,92.7,
2016,13200,105,
2017,19300,106,
2018,14500,89.1,
2019,10300,118,
2020,24400,821,
2021,,,
