year,escapement
1973,
1974,
1975,
1976,
1977,
1978,
1979,3371
1980,2854
1981,1967
1982,4400
1983,2248
1984,4074
1985,4048
1986,4470
1987,3666
1988,3410
1989,2754
1990,3100
1991,2604
1992,2524
1993,2048
1994,1390
1995,2053
1996,1454
1997,1012
1998,1344
1999,1970
2000,1315
2001,1322
2002,2522
2003,2658
2004,3884
2005,2250
2006,2392
2007,2096
2008,1484
2009,1155
2010,1168
2011,2401
2012,2132
2013,2819
2014,1333
2015,2124
2016,2343
2017,1109
2018,2088
2019,1154
2020,786
2021,1238
