year,age3,age4,age5,age6,age7,age8
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,15.35044399," 5,140 "," 4,379 ", 204 ,,
1982,27.08875209,4161.589354," 3,809 ",177.9333215,,
1983,11.48311218,3024.008643,3583.639957,287.5010698,,
1984,0,4216.243583,1796.794103,202.3828866,,
1985,57.82792567,4604.40067,3552.667473,161.4034626,,
1986,0,2830.422791,4020.241131,769.860152,,
1987,140.1250178,3858.650386,4013.084216,683.6891386,,
1988,35.54156679,4534.62847,4265.956057,326.5435158,,
1989,81.91391265,2406.182634,4497.29989,664.8180326,,
1990,125.9492447,3761.772632,2591.9843,477.8517791,,
1991,57.6481658,3372.180441,3203.126269,246.6990578,,
1992,93.95052025,6206.851764,4152.615207,287.5665413,,
1993,0,4026.866414,5171.570686,404.1058524,,
1994,0,2647.856154,4256.451307,325.9086441,,
1995,92.92428308,2545.99141,1888.793214,245.3279302,,
1996,15.89623337,2964.205933,1407.917783,61.58856576,,
1997,0,2939.828404,1695.831833,87.53310772,,
1998,17.7009343,1348.149156,2847.905322,225.7606352,,
1999,79.79797676,2422.700188,1913.783549,236.2471568,,
2000,68.83485797,2733.396638,2179.745297,195.4938903,,
2001,28.51634489,2325.894055,3735.167194,127.3500011,,
2002,46.24708783,2703.765459,1963.797714,4,,
2003,31.96168155,1124.86387,2663.674657,256.2621834,,
2004,9.688878869,3541.555285,3884.521616,897.9041415,,
2005,0,1789.14126,3850.42051,801.9962769,,
2006,21.11097796,3561.190797,3033.034038,457.9659694,,
2007,0,2455.481255,2950.6911,286.5196763,,
2008,0,2818.614619,1568.249316,151.4016345,,
2009,0,2711.185311,1384.539647,98.70031754,,
2010,68.139351,4346.466585,1157.061042,10.00627796,,
2011,68.98798455,3843.866928,2862.417405,232.1490445,,
2012,40.65200406,2630.358089,3639.585902,532.9506023,,
2013,20.36343848,2710.054906,2893.57905,514.0085957,,
2014,25.02488507,1817.219322,1575.980002,113.9496948,,
2015,0,2739.384679,3322.591555,118.6452926,,
2016,0,2610.79861,3131.081112,484.0818472,,
2017,0,840.6057176,2474.65183,97.48978631,,
2018,49.53273092,2620.621526,1487.465569,250.2388527,,
2019,40.15518897,1535.518495,2227.822275,232.4073662,,
2020,50.40056723,2234.995257,998.2636769,68.47344813,,
2021,9.463447923,801.9057024,1729.042155,33.0153843,,
