year,catch
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,6291
1982,3952
1983,3903
1984,3279
1985,5136
1986,4146
1987,5249
1988,5032
1989,3825
1990,3529
1991,3097
1992,4977
1993,4391
1994,2384
1995,2195
1996,2753
1997,2261
1998,1475
1999,2315
2000,1848
2001,2270
2002,575
2003,1712
2004,1631
2005,1268
2006,1207
2007,1979
2008,1134
2009,1292
2010,1994
2011,2861
2012,3249
2013,2594
2014,1701
2015,2167
2016,2148
2017,1584
2018,1091
2019,1184
2020,899
2021,365
