year,flow_wtr,flow_sum,NPGO
1973,,,
1974,31900,428,
1975,60500,681,
1976,41000,583,
1977,50300,594,
1978,20700,674,
1979,76700,552,
1980,64200,758,
1981,42400,462,
1982,56400,610,
1983,61100,543,
1984,35000,603,
1985,27800,417,
1986,66000,469,
1987,33400,300,
1988,33200,435,
1989,54000,387,
1990,79100,441,
1991,55100,600,
1992,46900,407,
1993,52200,353,
1994,52500,399,
1995,75900,413,
1996,36200,427,
1997,91100,804,
1998,69100,396,
1999,77500,533,
2000,23000,625,
2001,57700,706,
2002,61400,352,
2003,58100,386,
2004,46300,520,
2005,45500,281,
2006,75100,352,
2007,67500,421,
2008,42900,590,
2009,80300,365,
2010,66800,401,
2011,36100,473,
2012,29500,344,
2013,27700,613,
2014,39300,376,
2015,60800,404,
2016,46700,437,
2017,48000,372,
2018,46400,325,
2019,35600,416,
2020,55300,439,
2021,68700,371,
