year,escapement
1973,
1974,
1975,
1976,
1977,
1978,
1979,
1980,
1981,7018
1982,6332
1983,4622
1984,3886
1985,5240
1986,5002
1987,5526
1988,5344
1989,5320
1990,4708
1991,5215
1992,7083
1993,6877
1994,6083
1995,3404
1996,2271
1997,3180
1998,3628
1999,3098
2000,4262
2001,4942
2002,4956
2003,3171
2004,7841
2005,6476
2006,7053
2007,5001
2008,4766
2009,4102
2010,4751
2011,5296
2012,4198
2013,4014
2014,2304
2015,4771
2016,4686
2017,2503
2018,3658
2019,2878
2020,2664
2021,2646
