year,catch
1973,
1974,
1975,
1976,
1977,
1978,1728
1979,2468
1980,2665
1981,2474
1982,3484
1983,2013
1984,2576
1985,4584
1986,3635
1987,4994
1988,7561
1989,5587
1990,5012
1991,4694
1992,6599
1993,7100
1994,3701
1995,5854
1996,6424
1997,5929
1998,1947
1999,4519
2000,5814
2001,7226
2002,4423
2003,3399
2004,3974
2005,2828
2006,2469
2007,4227
2008,2893
2009,2053
2010,2837
2011,2724
2012,3719
2013,3078
2014,2400
2015,3262
2016,2396
2017,1188
2018,1554
2019,1165
2020,1289
2021,819
