year,escapement
1973,
1974,
1975,
1976,
1977,
1978,8303
1979,5087
1980,6006
1981,8570
1982,11660
1983,8761
1984,10669
1985,6676
1986,10742
1987,10000
1988,12185
1989,14048
1990,8096
1991,7658
1992,5514
1993,6270
1994,7283
1995,10926
1996,15191
1997,10558
1998,16949
1999,16502
2000,14664
2001,12584
2002,11242
2003,8724
2004,11464
2005,8833
2006,11057
2007,7470
2008,8328
2009,4733
2010,7548
2011,11263
2012,8925
2013,7476
2014,6606
2015,7914
2016,5500
2017,6001
2018,8389
2019,7216
2020,7960
2021,6675
