year,tribal harvest,sport mortality
1973,,
1974,,
1975,,
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,,
1988,,
1989,,
1990,,
1991,2746,204
1992,4186,373
1993,3246,893
1994,1538,508
1995,1694,469
1996,2200,484
1997,2219,331
1998,2253,338
1999,1218,439
2000,1502,714
2001,3882,529
2002,1933,462
2003,2059,346
2004,3061,481
2005,2199,671
2006,1667,636
2007,1127,521
2008,955,533
2009,1324,389
2010,1249,420
2011,929,400
2012,3512,403
2013,1956,401
2014,1588,351
2015,2270,555
2016,2959,359
2017,986,400
2018,956,150
2019,1293,175
2020,662,153
2021,196,202
