year,flow_max,flow_min,NPGO
1973,18800,375,
1974,33600,356,
1975,31900,568,
1976,12000,443,
1977,19800,443,
1978,8760,625,
1979,35200,431,
1980,32900,471,
1981,23200,346,
1982,23700,473,
1983,29400,453,
1984,15300,400,
1985,15400,395,
1986,25000,294,
1987,20300,250,
1988,11400,390,
1989,21200,312,
1990,39200,378,
1991,22400,481,
1992,23800,321,
1993,20200,350,
1994,30500,415,
1995,30600,399,
1996,16100,425,
1997,42600,754,
1998,26300,344,
1999,22200,625,
2000,8310,481,
2001,23400,572,
2002,33800,285,
2003,34700,350,
2004,24800,582,
2005,22200,260,
2006,31300,305,
2007,39400,438,
2008,18300,617,
2009,25700,350,
2010,23700,567,
2011,18500,716,
2012,14000,372,
2013,10800,495,
2014,20900,300,
2015,26600,232,
2016,18900,344,
2017,30500,395,
2018,18200,299,
2019,15100,313,
2020,22600,354,
2021,27200,250,
