year,age3,age4,age5,age6,age7,age8
1973,,,,,,
1974,,,,,,
1975,,,,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,,,,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,,,,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,,,,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,,,,,,
1996,736.7625417,1289.334448,552.5719063,552.5719063,0,
1997,167.8034704,2013.641645,839.0173519,0,0,
1998,0,1786.896008,724.4173006,144.8834601,0,
1999,995.954996,1244.943745,995.954996,0,0,
2000,4919.182693,4509.250802,2459.591346,0,0,
2001,,,,,,
2002,349.6913932,4196.296719,1165.637977,116.5637977,0,
2003,348.3941808,1625.839511,1161.313936,232.2627872,116.1313936,
2004,724.2278842,3621.139421,1593.301345,144.8455768,0,
2005,0,1606.66077,1204.995577,0,0,
2006,115.8723497,2201.574644,1274.595846,0,0,
2007,0,655.1837637,1310.367527,393.1102582,0,
2008,0,1503.004709,322.0724377,0,0,
2009,472.2985534,472.2985534,944.5971068,0,0,
2010,,,,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2014,,,,,,
2015,,,,,,
2016,,,,,,
2017,,,,,,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,75.1,675.9,2065.25,187.75,,
