year,flow_wtr,flow_sum,NPGO
1973,5450,26,
1974,7010,28,
1975,9060,24,
1976,7000,33,
1977,8300,24,
1978,2570,32,
1979,7330,25,
1980,5870,23,
1981,7210,26,
1982,7600,17,
1983,6300,42,
1984,4530,31.6,
1985,4610,24.9,
1986,9740,18.2,
1987,7660,21,
1988,4260,20,
1989,6270,26,
1990,9300,32,
1991,7540,26,
1992,7410,15,
1993,8660,26,
1994,12800,20,
1995,7540,25,
1996,9880,25,
1997,10600,38,
1998,8610,18,
1999,10100,26,
2000,2780,25,
2001,8450,39,
2002,7670,18,
2003,7340,14,
2004,5330,24.4,
2005,6410,26.4,
2006,9550,17.6,
2007,12100,21.4,
2008,5040,36.3,
2009,10700,22.3,
2010,5760,30.7,
2011,7700,30.2,
2012,9100,25.1,
2013,5200,32.9,
2014,7620,22.9,
2015,8270,13.3,
2016,7780,16.8,
2017,6960,18.2,
2018,7390,15.9,
2019,7040,16.8,
2020,8150,19.8,
2021,,,
