,Year,,,,,,,,,,,,,,,,,,,,,,,,
Ecosystem Indicators,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
"PDO
(Sum Dec-March)",5.07,-1.75,-4.17,1.86,-1.73,7.45,1.85,2.44,1.94,-0.17,-3.06,-5.41,2.17,-3.65,-5.07,-1.67,1.24,9.26,6.69,3.38,1.52,2.01,-0.76,-2.77,
"PDO
(Sum May-Sept)",-0.37,-5.13,-3.58,-4.22,-0.26,3.42,2.96,3.48,0.28,0.91,-7.63,-1.11,-3.53,-6.45,-7.79,-3.47,5.07,8.08,6.60,2.18,0.45,3.94,-1.35,-6.64,
"ONI
(Average Jan-June)",1.12,-1.07,-1.07,-0.40,0.18,0.27,0.20,0.47,-0.30,0.08,-0.98,-0.23,0.55,-0.72,-0.43,-0.30,-0.28,0.67,1.22,0.13,-0.45,0.72,0.28,-0.72,
,,,,,,,,,,,,,,,,,,,,,,,,,
"SST NDBC buoys 
(°C; May-Sept)",13.77,13.20,13.33,12.98,13.05,13.56,14.68,13.58,12.73,13.64,12.45,13.44,12.76,13.23,13.34,13.72,14.03,13.89,13.83,13.59,13.71,14.68,13.40,12.95,
"Upper 20 m T
(°C; Nov-Mar)",12.30,10.31,10.12,10.22,10.08,10.70,10.86,10.61,10.59,10.04,9.33,10.19,11.01,10.02,9.62,10.12,9.62,12.73,12.03,11.47,10.63,10.99,9.37,10.12,
"Upper 20 m T
(°C; May-Sept)",10.35,10.07,10.16,9.76,8.99,9.62,11.31,10.73,9.97,10.07,9.30,9.90,10.42,9.95,9.92,10.43,10.95,10.69,10.32,10.14,10.34,11.31,10.87,9.85,
"Deep temperature
(°C; May-Sept)",8.59,7.63,7.74,7.56,7.46,7.81,7.88,7.97,7.83,7.58,7.48,7.73,7.89,7.81,7.56,7.94,8.38,8.14,7.89,8.06,8.11,8.04,8.68,7.54,
"Deep salinity
(May-Sept)",33.54,33.86,33.78,33.86,33.85,33.68,33.66,33.77,33.85,33.88,33.87,33.72,33.61,33.75,33.75,33.76,33.53,33.71,33.83,33.85,33.85,33.79,33.54,33.89,
