year,releases,fwAge,percentMarked,stock
1993,241084,1,0.51399927,springHatchery
1994,231253,1,0.997997864,springHatchery
1995,249718,1,0.997501181,springHatchery
1996,115465,1,0.996102715,springHatchery
1997,142380,1,0.999494311,springHatchery
1998,135300,1,0.495898004,springHatchery
1999,147393,1,0.489243044,springHatchery
2000,148450,1,0.500262715,springHatchery
2001,150728,1,0.509202006,springHatchery
2002,120000,1,0.5,springHatchery
2003,151000,1,0.494913907,springHatchery
2004,146753,1,0.503001642,springHatchery
2005,275546,1,0.729747483,springHatchery
2006,139111,1,0.509887787,springHatchery
2007,117346,1,0.500502787,springHatchery
2008,153200,1,0.500992167,springHatchery
2009,161000,1,0.5,springHatchery
2010,140019,1,0.481798899,springHatchery
2018,405000,1,0.76488642,springHatchery
2019,414874,1,0.774601445,springHatchery
2020,NA,1,NA,springHatchery
1993,716257,0,0.347576359,springHatchery
1994,261581,0,0.99359663,springHatchery
1995,252448,0,0.997698536,springHatchery
1996,130500,0,0.997501916,springHatchery
1997,272429,0,0.998186684,springHatchery
1998,246714,0,0.989603346,springHatchery
1999,262620,0,0.987575204,springHatchery
2000,270079,0,0.997996882,springHatchery
2001,253362,0,1,springHatchery
2002,253973,0,0.983616369,springHatchery
2003,267248,0,0.984699605,springHatchery
2004,256190,0,0.999051485,springHatchery
2005,252195,0,1,springHatchery
2006,255685,0,0.996300135,springHatchery
2007,221225,0,1,springHatchery
2008,256041,0,0.996000641,springHatchery
2009,268617,0,1,springHatchery
2010,253841,0,0.995000808,springHatchery
2011,475326,0,0.617921174,springHatchery
2012,580985,0,0.642691292,springHatchery
2013,577524,0,0.64168935,springHatchery
2014,665180,0,0.699290418,springHatchery
2015,650000,0,0.682461538,springHatchery
2016,593506,0,0.654394395,springHatchery
2017,592231,0,0.651360702,springHatchery
2018,674000,0,0.691596439,springHatchery
2019,833979,0,0.753629288,springHatchery
2020,747034,0,0.722240219,springHatchery
2021,1107600,0,0.809454677,springHatchery
1994,191515,0,1,summerIndicator
1995,137661,0,1,summerIndicator
1996,23500,0,0.999021277,summerIndicator
1997,202136,0,1,summerIndicator
1998,241120,0,0.980001659,summerIndicator
1999,194590,0,1,summerIndicator
2000,205750,0,0.99799757,summerIndicator
2001,190058,0,0.999000305,summerIndicator
2002,200202,0,1,summerIndicator
2003,230593,0,0.984999545,summerIndicator
2004,192000,0,1,summerIndicator
2005,210643,0,0.992000684,summerIndicator
2006,248047,0,0.935911339,summerIndicator
2007,221211,0,0.981271275,summerIndicator
2008,109284,0,0.996001244,summerIndicator
2009,211196,0,0.988001667,summerIndicator
2010,184894,0,0.994099322,summerIndicator
2011,190823,0,0.990001205,summerIndicator
2012,198597,0,1,summerIndicator
2013,185764,0,0.996000301,summerIndicator
2014,226141,0,0.996099778,summerIndicator
2015,227290,0,0.997998152,summerIndicator
2016,208314,0,1,summerIndicator
2017,211546,0,0.994700916,summerIndicator
2018,201400,0,0.992497517,summerIndicator
2019,204000,0,0.997098039,summerIndicator
2020,130415,0,0.997998696,summerIndicator
2021,217000,0,0.992599078,summerIndicator
