year,tot_pk_num,e_pacific_pk_num,tot_pk_bio,tot_salmon_nos,tot_salmon_bio
1952,198.0298015,55.7887957,319970.2876,294.5512895,639.2403906
1953,336.5290869,54.92696433,552675.4487,426.2722764,851.5396894
1954,179.7949782,58.93153003,286501.9505,294.1033925,685.5552437
1955,294.413004,65.87384667,476719.2539,407.5930893,854.3078117
1956,260.8135208,62.68008382,406841.0987,397.3562074,854.3485051
1957,362.0339953,43.21861244,566397.0584,477.2576351,934.985768
1958,187.0299165,55.9146137,290152.9338,307.938449,685.8931907
1959,240.0020938,39.70973584,363887.2804,349.6566047,717.6680243
1960,125.0629748,43.09971618,188699.3624,262.6451791,594.7197892
1961,182.1236784,55.78863628,320847.1034,295.2393375,680.0096796
1962,162.859114,102.5817348,261130.2102,265.4176175,598.3259104
1963,224.2375817,81.14924257,356067.7383,318.1910517,649.1755178
1964,146.2015324,88.87126096,224239.0281,245.6432706,552.9730981
1965,205.1036429,57.6174385,312951.4926,344.5413654,688.5302236
1966,161.1151013,89.33447343,273010.9161,275.723802,642.7667318
1967,175.2447665,23.85496897,282005.2532,272.9159333,599.3428629
1968,172.0482063,106.2807914,259553.1054,270.0579143,569.6574247
1969,220.7792867,54.34883364,359290.2477,305.9088864,609.121219
1970,132.2029342,69.80047101,212156.7726,268.1575922,618.283517
1971,202.78803,54.78100033,317793.316,324.9145239,681.546988
1972,126.2276425,53.12752129,187207.5776,224.6738138,510.8720924
1973,158.6269034,36.94518169,225402.197,258.152649,567.8287348
1974,133.9360774,42.37786414,197811.736,238.3194561,534.5145177
1975,228.2673373,47.41930387,328897.3084,339.2476241,651.9611951
1976,199.0080226,80.83444671,295166.8002,305.0497121,638.9161782
1977,279.1204321,67.1620778,397046.0682,381.4260423,742.2817695
1978,234.0968415,121.1188957,321426.4339,349.5954565,708.0605098
1979,319.9023766,107.614867,450338.7399,457.0085303,868.7663926
1980,244.4852059,117.5081263,343088.0027,407.9586411,830.7887202
1981,297.883815,123.9229787,463997.9491,453.4997952,955.9926859
1982,223.2043036,109.2815021,312488.0326,373.1234832,809.0753593
1983,431.0079915,138.8363733,564974.3189,597.2711755,1072.315809
1984,308.7731516,144.981063,432090.1644,479.5063711,960.539126
1985,326.2901376,191.4191293,462143.3936,524.1908162,1064.155569
1986,261.7616152,162.7469921,391791.1072,442.763661,979.583396
1987,270.3310462,117.0298367,402442.4501,437.708009,945.3057311
1988,212.1579015,118.9696246,309049.2261,384.7937078,887.8403465
1989,364.3859048,179.8260594,521486.0025,557.719549,1118.8288
1990,303.0355966,164.9486629,424670.9375,523.034228,1111.197261
1991,486.0193237,219.011513,616159.8332,688.9187022,1217.830176
1992,277.2341688,126.3497266,404142.7987,472.3206335,997.0263514
1993,398.5924679,189.1282212,533588.0314,650.2049051,1260.213971
1994,453.748659,173.9028634,602884.7112,698.5702437,1348.500118
1995,434.867605,231.4693131,642597.7775,690.5075378,1413.727294
1996,424.2513281,201.7165991,605088.1177,677.0867961,1428.059169
1997,401.9695761,150.7793588,603084.455,609.5707575,1254.711779
1998,443.5715796,181.1101323,626879.1419,636.0950425,1250.446263
1999,501.0739726,268.0294875,642258.0539,699.167391,1259.043501
2000,381.8192568,144.1110692,556105.4469,567.919246,1161.310427
2001,401.8196412,223.5269268,582168.4283,601.1721842,1238.027074
2002,382.8857158,180.4780906,589334.8887,574.1699327,1248.148238
2003,466.3283391,242.9808583,692026.1975,675.4527621,1382.092005
2004,361.2705607,189.9818756,596337.372,594.246628,1339.898774
2005,594.4661709,292.694696,851783.37,812.9759031,1566.207186
2006,344.0283572,121.8419896,522116.1698,576.5499678,1271.431776
2007,548.7740497,228.5356539,814709.5578,764.4126192,1482.40179
2008,328.1716624,127.1262814,514025.1356,521.1910168,1112.595792
2009,657.1627969,189.8685148,896041.8001,878.0857061,1587.120372
2010,407.2142707,160.518328,644968.1412,644.0343956,1377.978747
2011,653.762543,214.1766751,861930.828,860.3221639,1498.896404
2012,435.5747755,119.9739051,619896.9295,650.4224394,1268.716809
2013,577.8224288,367.5887781,808599.4389,798.2596879,1487.885776
2014,355.8470816,162.7480035,527736.8656,606.0006984,1294.806075
2015,549.4208599,299.350879,800530.1169,815.6585249,1591.375419
2016,432,97,NA,686,NA
2017,513,226,NA,737,NA
2018,701,87,NA,950,NA
2019,639,203,NA,854,NA
2020,315,110,NA,494,NA
