Year,Chehalis,Willapa,Humptulips,Queets,Quinault,Hoh,Quillayute
1973,,,,,,,
1974,,,,,,,
1975,,,,,,,
1976,,,,,,,
1977,,,,,,,
1978,,,,,,,10031
1979,,,3614,,,,7555
1980,,,3776,,,4234,8671
1981,,,2712,13309,,4078,11044
1982,,,5325,10284,,5783,15144
1983,6479,,2867,8525,,5743,10774
1984,10004,,4673,7165,,5316,13245
1985,12763,,7125,10376,6650,5721,11260
1986,15868,,5808,9148,7616,5094,14381
1987,17579,,4797,10775,8883,4527,14994
1988,10933,,5243,10376,8665,5706,19746
1989,10833,,3834,9145,8385,4415,19635
1990,12035,,4347,8237,7896,4525,13108
1991,9397,,3215,8312,6416,4206,12352
1992,11105,,3277,12060,7944,4515,12134
1993,7899,,2816,11268,6852,4144,13370
1994,10586,,1989,8467,5099,3988,10984
1995,9856,,2894,5599,4721,3571,16780
1996,8889,2523,1670,5024,5142,4097,21615
1997,7445,2428,1210,5441,6199,4152,16487
1998,6298,2909,1389,5103,4989,3977,18896
1999,11136,3545,2028,5413,3524,4123,21021
2000,12006,13018,1368,6110,4822,4468,20479
2001,10882,6227,1409,7212,6979,5351,19809
2002,11381,6382,2611,5531,4593,5125,15665
2003,9968,3815,2840,4883,4508,3583,12123
2004,19051,6662,4200,9472,5602,4053,15438
2005,10982,3079,2557,7744,6677,2539,11661
2006,11877,3933,2516,8260,5730,3984,13526
2007,8700,2583,2392,6980,4403,3914,11697
2008,7535,2116,1651,5900,4772,3501,11221
2009,7436,2069,1326,5394,3971,3141,6786
2010,7084,4474,1303,6745,4542,3042,10385
2011,7045,3318,2653,8157,4593,4394,13987
2012,8896,2795,2645,7447,7149,4505,12644
2013,10622,3417,3365,6608,4912,3640,10554
2014,8036,2653,1667,4005,4180,3144,9005
2015,12352,4989,2999,6938,6430,4319,11176
2016,11734,3081,2900,6834,5653,2760,7896
2017,5622,3378,1407,4087,4139,2742,7189
2018,7742,1696,2223,4749,3930,3351,9943
2019,6660,4625,1799,4062,4390,2859,8382
2020,6699,4355,859,3563,2180,3024,9249
2021,5793,3246,1273,3126,2215,3222,7494
2022,5378,3753,928,3114,2794,3443,8996
