"","Year","Estimate","L95","U95"
"1",2012,7792.93229500381,3892.40592824735,17218.5538349397
"2",2013,7691.73358405517,4070.29090678843,15949.4461614137
"3",2014,8006.90968738007,4324.26988527648,16242.691585261
"4",2015,7291.55538605735,3888.81677405553,15046.4470600964
"5",2016,8353.78995845652,4506.75318671058,16883.0399181857
"6",2017,7751.34047287281,4317.99943382693,15071.2680331994
"7",2018,6246.04844664656,3249.24044632288,12953.8468577224
"8",2019,6675.91125414358,3541.73907778632,13560.1069113179
"9",2020,6393.63654534913,3363.65491983116,13127.2545973481
"10",2021,5945.81347601936,3214.78134653572,11796.3998649872
"11",2022,5496.30410339506,2944.7299826327,11013.1730277597
"12",2023,6674.06269119326,3227.98460132129,15134.1040658636
