"","Year","Estimate","L95","U95"
"1",2012,1790.82648825397,867.357426678647,3508.86822292
"2",2013,2005.23226198137,1026.47425602301,3763.59944042391
"3",2014,2553.55966702146,1364.02650079374,4623.87697331279
"4",2015,2378.31231092738,1159.69451169831,4533.74237503726
"5",2016,2449.8692974813,1190.47514528964,4632.42673545298
"6",2017,2385.58754869741,1165.41260955744,4464.90431953293
"7",2018,2030.17468738428,950.077228963956,3929.98101889776
"8",2019,1889.05641460881,908.716172995023,3621.14263876487
"9",2020,1677.34848286808,817.637362946811,3218.78728388006
"10",2021,1272.55410333893,604.034249357285,2495.3411346263
"11",2022,1185.03562510754,553.769347089129,2387.24607480214
"12",2023,1156.77328452424,521.067420100109,2430.12339833314
