"","Year","Estimate","L95","U95"
"1",2012,12441.2193119233,8147.27891184417,19370.5045216412
"2",2013,10520.1630727471,6851.23383754067,16522.3334489857
"3",2014,10208.178750601,6611.4142169276,16117.7189882473
"4",2015,10171.0908982744,6575.55706991349,16084.110157755
"5",2016,10764.6393612178,6978.86184017757,16958.4386054025
"6",2017,9907.0405338183,6404.58402532851,15678.4725732975
"7",2018,9871.44767830934,6409.42997967585,15568.6386449228
"8",2019,9541.74245051796,6148.52694559263,15155.8080412659
"9",2020,9204.96956767593,5896.5055629758,14705.5453862109
"10",2021,8773.87328582732,5606.81503732061,14064.1238019931
"11",2022,8954.84633343752,5724.56975432641,14341.068922183
"12",2023,8488.3744778388,5549.79599950391,13246.9148740304
