"","Year","Estimate","L95","U95"
"1",2012,3336.37109503452,1863.75567475262,5972.74777095444
"2",2013,3224.94450122314,1801.8156841626,5772.29753371457
"3",2014,3162.89450836456,1767.32323633388,5660.67305194778
"4",2015,3206.82537375831,1791.74359502946,5739.70223240748
"5",2016,3347.19833593219,1869.7743384879,5992.22537439142
"6",2017,3336.37109503452,1863.75567475262,5972.74777095444
"7",2018,3217.28638668994,1797.55867938574,5758.52101212773
"8",2019,3224.94450122314,1801.8156841626,5772.29753371457
"9",2020,3162.89450836456,1767.32323633388,5660.67305194778
"10",2021,3347.19833593219,1869.7743384879,5992.22537439142
"11",2022,3753.35913627303,2095.55164434124,6722.88603627683
"12",2023,3462.11682962006,1934.35600175256,6196.74176450647
