"","Year","Estimate","L95","U95"
"1",2011,2028.52021228132,1088.11438437265,3816.89966001827
"2",2012,2158.62352469606,1165.30852993505,4035.28226135496
"3",2013,2301.28186273952,1270.5134783272,4202.46892911883
"4",2014,2664.06776057392,1472.01017569087,4860.90931109233
"5",2015,1725.23581760973,903.80530481174,3320.88268083497
"6",2016,2900.25879033618,1506.48704260381,5605.56111779868
"7",2017,1495.41873802525,774.042393491165,2907.63688035931
"8",2018,1677.71070402424,877.099424358112,3233.3539470247
"9",2019,2294.56963063565,1213.09414723174,4367.91747746481
"10",2020,1797.06229151591,941.818793846152,3455.30939272545
"11",2021,1378.75741515267,696.34730133704,2742.93418900224
"12",2022,2077.62517496044,1068.45032946849,4059.18749566859
