"","Year","Estimate","L95","U95"
"1",2011,9635.76062192601,6634.99572977675,14001.2522332441
"2",2012,10715.950553274,7368.45096686954,15593.6504083423
"3",2013,10377.4088415247,7154.93160962424,15057.4419144439
"4",2014,9108.08572138032,6282.74274659491,13208.0230360841
"5",2015,8746.00441006087,6038.36958752923,12671.0768235578
"6",2016,8913.89958772824,6149.42236686199,12924.6561160173
"7",2017,8652.9186464374,5966.26314058647,12555.1845576805
"8",2018,9501.20888051408,6557.63207327883,13771.0042814773
"9",2019,8598.66706734219,5927.98164899543,12477.2533257687
"10",2020,7388.64021659171,5096.17099774063,10716.0436910829
"11",2021,7494.9586918523,5170.48706298231,10867.6557398435
"12",2022,8007.53620095549,5525.7964211926,11606.9978676488
