"","Year","Estimate","L95","U95"
"1",2011,4629.86784284613,3050.12681474359,7222.69509820514
"2",2012,4582.17748196278,3028.15531809203,7145.77314364212
"3",2013,5802.70858874082,3714.22349547151,9277.27579802766
"4",2014,4119.43348683252,2616.81705099636,6645.51133362744
"5",2015,4336.51385234869,2794.91011567948,6882.04903511509
"6",2016,5701.70226787018,3684.80526544358,8982.04568203222
"7",2017,4259.16386486663,2674.90225951845,6957.81723815122
"8",2018,4713.07106419521,3049.90136693815,7434.38798197219
"9",2019,4396.47680452414,2830.72288446493,6961.42262799552
"10",2020,4255.87810289989,2740.77785935623,6751.60774874932
"11",2021,2966.55272511632,1704.19900722108,5254.64229807576
"12",2022,3214.864586661,1913.84235494876,5472.45022195499
