"","Year","Estimate","L95","U95"
"1",2011,4227.63346212677,2421.9016179041,7397.15083380595
"2",2012,3522.90418937026,2045.64566060499,6078.70395758623
"3",2013,3728.15384801392,2113.03550361179,6628.07984286625
"4",2014,3846.85711776061,2180.69920812564,6829.52769883414
"5",2015,3624.75596507465,2077.18107997317,6355.53919510734
"6",2016,4152.17246424068,2324.5377352202,7483.11705372351
"7",2017,3618.07877070036,2057.43292018939,6406.31445878331
"8",2018,3462.85572314922,1989.1767732428,6056.58463722574
"9",2019,3475.6739192562,1998.90526603304,6069.76286996588
"10",2020,3739.01613440993,2127.68208608032,6611.02304477032
"11",2021,3516.03178145358,2011.66755132214,6176.40855484878
"12",2022,3689.82865577487,2124.05021179307,6433.80390452092
