"","Year","Estimate","L95","U95"
"1",2012,4392.24838779772,3207.83449888709,6014.00323037114
"2",2013,3706.08786973953,2720.84979932492,5048.21393923544
"3",2014,3381.42737742148,2493.17201446618,4586.43990783586
"4",2015,3519.44566359349,2606.76362178074,4752.25229201056
"5",2016,3850.70704248504,2851.70897124688,5200.22404259653
"6",2017,3333.28649102537,2395.95427965058,4637.73164283534
"7",2018,3350.71573285736,2401.71295003528,4675.34600371367
"8",2019,3562.75591301279,2566.47449016135,4946.10018425803
"9",2020,3055.54238582848,2188.02597860673,4267.72943926133
"10",2021,3117.12934606757,2241.54963786652,4335.08467984785
"11",2022,3408.60499007028,2462.21993077823,4718.92002437875
"12",2023,3462.21320528718,2510.96032821315,4773.89730244869
