"","Year","Estimate","L95","U95"
"1",2012,8839.6999257484,5874.17630858405,13205.8412970329
"2",2013,7943.87471967683,5306.90913740094,11804.1389373845
"3",2014,6016.99918954267,4040.3969888445,8897.0545836571
"4",2015,4124.8156142362,2740.8551790914,6160.78674323751
"5",2016,6855.59454943402,4263.28337367843,10892.4997989046
"6",2017,6557.07159890069,4087.65090202588,10374.9431611829
"7",2018,4757.50609528603,2903.66306377408,7656.62370944304
"8",2019,5318.39168172745,3288.67210647808,8476.65158674933
"9",2020,3561.67732614782,2192.79745774056,5679.97945417672
"10",2021,3435.50338321247,2134.2789800108,5437.02709411332
"11",2022,3533.97561914689,2216.05251974514,5564.74145647707
"12",2023,3183.74343042232,2008.98014972417,4968.26458227433
