"","Estimate"
"1",238240.324540501
"2",46150.1131910098
"3",47617.6758958798
"4",23508.3658525578
"5",27965.1515426635
"6",176836.218604883
"7",24913.472883114
"8",66908.7953541319
"9",19744.6077641331
"10",3287.50728099783
"11",24032.375498959
"12",47396.37435364
"13",101703.975529503
"14",24474.5912524148
"15",47340.2161048664
"16",76754.289187853
"17",26846.8933674712
"18",9483.03178230909
"19",15962.7931823802
"20",19097.3119357539
"21",44369.1469105359
"22",34889.6479357885
"23",29994.6112442818
"24",14103.1774617466
"25",9755.19107366719
"26",15617.9065801298
"27",29570.3113879953
"28",36164.4799111508
"29",17364.6019535542
"30",6649.16861155915
"31",29241.5851235513
"32",48847.0637586352
"33",126871.307015003
"34",55072.355413745
"35",45653.3280831937
"36",36235.7991658976
"37",17969.1700037642
"38",66748.0968146796
"39",83016.6752702951
"40",56589.9821242554
"41",74521.2383066122
"42",38819.5247781877
"43",70279.4781201242
"44",53863.3824636541
"45",17259.7621476937
"46",45711.8060037643
"47",24412.6984038826
"48",85597.1584108325
"49",25547.5633106803
"50",27309.7638156685
"51",21611.9709372676
"52",39292.6942779947
"53",73748.5133966516
"54",7576.41397705071
"55",177376.374492459
"56",50058.2985208148
"57",53848.2712360674
"58",43305.6343926558
"59",66353.7467352786
"60",64396.27181681
"61",11992.40146656
"62",21746.2515551223
"63",57391.0299261129
"64",43571.3620762178
"65",26039.7123958432
"66",49438.0244587655
"67",135122.285848673
"68",51151.2388061325
"69",30653.0134242363
"70",85410.6697945085
"71",23629.3362220052
"72",28607.3308569892
"73",7559.96970568928
"74",5459.93618214482
"75",40695.2839861596
"76",43793.3025807388
"77",48110.3034425161
"78",85098.7658381663
"79",17095.6508583701
"80",102304.594319546
"81",51504.0869675714
"82",71861.8548189799
"83",26990.3121214644
"84",52020.555507049
"85",35276.8961876716
"86",28511.728463888
"87",9781.83438658392
"88",79501.5631247816
"89",22064.7917812891
"90",63409.2880258366
"91",20058.0493434793
"92",89443.669178369
"93",38163.8249328119
"94",74343.7496460874
"95",125588.877135044
"96",27938.27029871
"97",30450.1134868183
"98",31456.4933744741
